Category;Site;A;Currency Site;Email of Company
Antenna-ANT;TestNuevaCarga006-TestNuevaCarga006;TestNuevaCarga006-ANT-0324-;EURO/EUR;
Antenna-ANT;TestNuevaCarga006-TestNuevaCarga006;TestNuevaCarga006-ANT-0325-;EURO/EUR;
Antenna-ANT;TestNuevaCarga006-TestNuevaCarga006;TestNuevaCarga006-ANT-0332-;EURO/EUR;
Antenna-ANT;TestNuevaCarga006-TestNuevaCarga006;TestNuevaCarga006-ANT-0333-;EURO/EUR;
Antenna-ANT;TSTFGP20210914-2-TSTFGP20210914-2;Test_Antena_001-;DOLAR/$;
Antenna-ANT;TSTFGP20210914-TSTFGP20210914;TSTFGP20210914-Antenna-0337-;EURO/EUR;
Antenna-ANT;SITE/00009-SITE/00009;TestNuevaCarga010-T-0364-;EURO/EUR;
Antenna-ANT;SITE/00009-SITE/00009;TestNuevaCarga010-T-0384O-;EURO/EUR;
Antenna-ANT;TestNuevaCarga010-TestNuevaCarga010;TestNuevaCarga010-T-0385O-;EURO/EUR;
Antenna-ANT;135GD-33Gree00022-135GD-33Gree00022;135GD-33Gree00022-;DOLAR/$;
Antenna-ANT;135GD-33Gree00022-135GD-33Gree00022;Antena_111121_01-;DOLAR/$;
Antenna-ANT;135GD-33Gree00022-135GD-33Gree00022;135GD-33Gree00023-;DOLAR/$;
Antenna-ANT;135GD-33Gree00022-135GD-33Gree00022;Antena_111121_03-;DOLAR/$;
Antenna-ANT;135GD-33Gree00022-135GD-33Gree00022;Antena_111121_05-;DOLAR/$;
Antenna-ANT;SITE/00004-SITE/00004;Antenna00000000-;EURO/EUR;
Antenna-ANT;TSTFGP20210914-TSTFGP20210914;Antenna00000001-;EURO/EUR;
Antenna-ANT;TSTFGP20210914-TSTFGP20210914;Antenna00000002-;EURO/EUR;
Antenna-ANT;TSTFGP20210914-TSTFGP20210914;Antenna00000003-;EURO/EUR;
